target_column,known_columns,num_known_columns,base_prec,base_recall,attack_prec,attack_recall,alc,base_count,attack_count,base_ci,base_ci_low,base_ci_high,base_n,attack_ci,attack_ci_low,attack_ci_high,attack_n
t1,"[""f1"", ""i2""]",2,1.0,0.001,1.0,0.001,0.0,1000,1000,0.7934506856227626,0.20654931437723742,1.0,1,0.7934506856227626,0.20654931437723742,1.0,1
t1,"[""f1"", ""i2""]",2,0.19444444444444445,0.036,0.5277777777777778,0.036,0.35378474127218895,1000,1000,0.25274947576248663,0.09753095418928728,0.3502804299517739,36,0.3100802046183335,0.37005938022987594,0.6801395848482095,36
t1,"[""f1"", ""i2""]",2,0.23863636363636365,0.088,0.4659090909090909,0.088,0.2572187589509942,1000,1000,0.1757160235900956,0.16171042608327632,0.33742644967337193,88,0.20406066666345057,0.36530468030457786,0.5693653469680284,88
t1,"[""f1"", ""i2""]",2,0.20454545454545456,0.176,0.3977272727272727,0.176,0.21634710167146498,1000,1000,0.1185796387784841,0.15156661860348392,0.270146257381968,176,0.14312809946843624,0.32834779418634086,0.4714758936547771,176
t1,"[""f1"", ""i2""]",2,0.23270440251572327,0.318,0.3270440251572327,0.318,0.10839950322577734,1000,1000,0.09254977917717824,0.18961991926711022,0.28216969844428846,318,0.1025901163932767,0.27781334753352,0.3804034639267967,318
t1,"[""f1"", ""i2""]",2,0.24222222222222223,0.45,0.3111111111111111,0.45,0.07983686513287758,1000,1000,0.07895294035981879,0.20492766534921195,0.28388060570903073,450,0.08524405880641922,0.2700878974931293,0.3553319562995485,450
t1,"[""f1"", ""i2""]",2,0.23618090452261306,0.597,0.2981574539363484,0.597,0.07154314471983475,1000,1000,0.06800655278815507,0.20386434627441433,0.2718708990625694,597,0.07319997699935743,0.26284793868478645,0.3360479156841439,597
t1,"[""f1"", ""i2""]",2,0.2347949080622348,0.707,0.2984441301272984,0.707,0.07340911903348432,1000,1000,0.06238553050169229,0.20503533783269132,0.2674208683343836,707,0.0673103632709704,0.2658781767080033,0.3331885399789737,707
t1,"[""f1"", ""i2""]",2,0.24439197166469895,0.847,0.29988193624557263,0.847,0.06446279897147145,1000,1000,0.057795244858183104,0.21664839233601046,0.27444363719419357,847,0.061602946322805774,0.2699839748879495,0.3315869212107553,847
t1,"[""f1"", ""i2""]",2,0.253,1.0,0.302,1.0,0.05729741904392175,1000,1000,0.05381881952072845,0.22703579958556788,0.28085461910629633,1000,0.05682392060578939,0.2743457378772452,0.3311696584830346,1000
t1,"[""i1""]",1,1.0,0.2748091603053435,0.8888888888888888,0.2748091603053435,-20.06876802572856,131,131,0.0964186285944637,0.9035813714055363,1.0,36,0.20908168290049223,0.7468519140963513,0.9559335969968435,36
t1,"[""i1""]",1,1.0,0.5190839694656488,0.9117647058823529,0.5190839694656488,-118.98044394890044,131,131,0.053471336520070745,0.9465286634799295,1.0000000000000002,68,0.13836957591696186,0.8205623087685489,0.9589318846855107,68
t1,"[""i1""]",1,1.0,0.7709923664122137,0.900990099009901,0.7709923664122137,-1522.5274932020661,131,131,0.03664064639985598,0.963359353600144,1.0,101,0.1180588089014335,0.8272681581315192,0.9453269670329527,101
t1,"[""i1""]",1,1.0,1.0,0.8931297709923665,1.0,-5343.5648854611745,131,131,0.0284887070659946,0.9715112929340054,1.0,131,0.10667057176285655,0.8285947262262151,0.9352652979890717,131
